Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重
音效,0.121,效果,0.150,不错,0.078,手机,0.124,京东,0.101,空调,0.084
屏幕,0.094,外形,0.094,质量,0.042,手感,0.068,苹果,0.045,师傅,0.069
外观,0.061,速度,0.074,物流,0.035,速度,0.065,不错,0.031,漂亮,0.046
流畅,0.049,待机时间,0.056,速度,0.029,系统,0.029,信赖,0.031,质感,0.032
苹果,0.040,外观,0.052,东西,0.027,屏幕,0.028,外观,0.027,专业,0.032
灵动,0.032,清晰,0.044,购物,0.024,外观,0.019,物流,0.027,格力,0.021
不错,0.027,屏幕,0.023,价格,0.021,京东,0.016,速度,0.025,奥克斯,0.020
效果,0.027,特色,0.017,京东,0.020,酸奶,0.015,品质,0.018,外观,0.020
像素,0.020,静音,0.015,鸡腿,0.016,紫色,0.013,时效,0.017,不错,0.018
特色,0.015,舒服,0.014,性价比,0.016,不错,0.013,下单,0.017,耐用,0.016
黑色,0.013,续航,0.014,味道,0.014,音质,0.013,老婆,0.016,素质,0.013
视频,0.013,不错,0.012,发货,0.013,大气,0.012,正品,0.015,降价,0.011
丝滑,0.011,冷暖,0.012,宝贝,0.013,发货,0.012,手机,0.014,很漂亮,0.011
信号,0.009,完美,0.012,很好,0.013,体验,0.012,舒服,0.014,外形,0.010
功能,0.009,手机,0.010,卖家,0.012,苹果,0.012,商品,0.014,耐心,0.009
细腻,0.009,空调,0.010,产品,0.012,颜色,0.012,外观设计,0.013,客服,0.009
电池,0.008,系统,0.008,品牌,0.010,习惯,0.011,品牌,0.012,速度,0.009
感觉,0.008,功能,0.008,仔细,0.009,很棒,0.010,体验,0.011,美的,0.009
很棒,0.008,品牌,0.007,感觉,0.009,白色,0.010,购物,0.011,时间,0.009
手机,0.008,白色,0.007,很棒,0.009,客服,0.010,外形,0.010,售后,0.009
